severity,weather,road,light,lat,lon,highway,speed
property damage only,overcast,dry,dusk,44.65562233852384,-63.593736523008026,tertiary,50
non-fatal injury,overcast,dry,daylight,44.753901252591064,-63.6625103184144,residential,40
property damage only,clear,dry,daylight,44.64182355195174,-63.57932173295374,tertiary,50
property damage only,clear,dry,daylight,44.64648682043042,-63.593353279441615,primary,60
non-fatal injury,overcast,dry,daylight,44.65141782864504,-63.61590273469082,residential,40
property damage only,clear,dry,daylight,44.67609956180383,-63.578603319185085,primary,50
property damage only,clear,dry,daylight,44.64286415355219,-63.57827286634488,residential,40
property damage only,overcast,dry,dark,44.68444961740702,-63.52935948645698,tertiary,50
property damage only,overcast,dry,dark,44.59423567630391,-63.638518888429125,secondary,50
property damage only,clear,dry,daylight,44.67239813285249,-63.56631615969428,residential,40
property damage only,clear,dry,daylight,44.661606455634775,-63.670628591247656,residential,40
non-fatal injury,clear,dry,daylight,44.74484415696824,-63.65640668494967,highway,100
property damage only,clear,dry,dark,44.75811626221353,-63.64805369103832,residential,40
property damage only,clear,dry,daylight,44.75592350395541,-63.64579290012182,secondary,70
non-fatal injury,clear,dry,daylight,44.654955767563216,-63.6733266631039,highway,100
property damage only,clear,dry,dark,44.668464380307775,-63.566252622826454,secondary,50
property damage only,clear,dry,dawn,44.75288318885564,-63.66728685731718,highway,70
property damage only,clear,dry,daylight,44.769712502530375,-63.68785204091426,residential,40
property damage only,clear,dry,daylight,44.780547466174845,-63.671852389406915,residential,50
property damage only,clear,dry,daylight,44.69215277281455,-63.50413819557113,primary,60
property damage only,clear,dry,daylight,44.7513507516565,-63.64730851086787,residential,40
property damage only,clear,dry,daylight,44.73315214422342,-63.67154335128146,highway,100
non-fatal injury,clear,dry,dark,44.710549925252266,-63.90010058764812,primary,70
non-fatal injury,clear,dry,daylight,44.755386113156874,-63.64530681344424,highway,100
property damage only,clear,dry,daylight,44.78196944754506,-63.71058531762251,secondary,50
non-fatal injury,clear,dry,dusk,44.511383218094515,-63.876282720330146,secondary,50
property damage only,clear,dry,dark,44.8555660610969,-63.54258114649306,residential,40
property damage only,clear,dry,daylight,44.74484415696824,-63.65640668494967,highway,100
property damage only,clear,dry,dawn,44.646822303122974,-63.53836164209356,residential,40
property damage only,clear,dry,daylight,44.64470324786236,-63.61566774863881,primary,50
property damage only,clear,dry,daylight,44.627880540032464,-63.61678836233498,secondary,50
property damage only,clear,dry,dawn,44.53428309236955,-63.74614362788887,secondary,50
property damage only,clear,dry,daylight,44.648718543782635,-63.62885095077374,residential,40
property damage only,clear,dry,daylight,44.80917219587488,-63.68738508571773,residential,40
non-fatal injury,clear,dry,daylight,44.652010400512495,-63.58363547112245,secondary,50
non-fatal injury,clear,dry,dark,44.733440436548904,-63.36360244072124,residential,40
property damage only,clear,dry,dark,44.677200849187976,-63.66409607332669,residential,40
property damage only,clear,dry,daylight,44.66273488758053,-63.62236744062975,primary,60
non-fatal injury,clear,dry,daylight,44.915002525845686,-62.35287127283869,residential,40
property damage only,rain,wet,daylight,44.76306297404678,-63.774531306121496,residential,40
property damage only,clear,dry,daylight,44.62675459411152,-63.66657134055014,residential,40
property damage only,overcast,dry,daylight,44.75842660269728,-63.65676260911798,residential,40
non-fatal injury,clear,dry,dark,44.78270710324295,-63.69160878837173,secondary,50
non-fatal injury,overcast,dry,daylight,44.67724045993604,-63.82509255172632,primary,70
property damage only,clear,dry,daylight,44.65069135065421,-63.586308489690715,secondary,50
property damage only,overcast,dry,daylight,44.67080171349224,-63.49112274418179,residential,40
property damage only,clear,dry,daylight,44.77367074135255,-63.692777383487105,residential,25
property damage only,overcast,dry,daylight,44.63566257527488,-63.637396997464435,residential,40
property damage only,clear,dry,daylight,44.69688251946518,-63.69249221314489,residential,40
property damage only,clear,dry,daylight,44.65747404926846,-63.590803986679774,primary,60
non-fatal injury,clear,dry,dark,44.80378956067083,-63.7474598380393,primary,70
non-fatal injury,clear,dry,daylight,44.65363558147547,-63.630177912716626,secondary,50
property damage only,clear,dry,daylight,44.60796042671126,-63.60962107560195,residential,40
property damage only,clear,dry,daylight,44.65836512391211,-63.67070474523002,residential,40
property damage only,overcast,dry,daylight,44.78174773612441,-63.70859811963141,tertiary,50
property damage only,clear,dry,dusk,44.70157115717769,-63.67775449942462,residential,40
property damage only,overcast,dry,daylight,44.68135738344438,-63.57495853341976,primary,50
property damage only,clear,dry,dark,44.78540060313356,-63.620789336237785,residential,50
property damage only,clear,dry,daylight,44.644930830555005,-63.599970404841706,primary,50
property damage only,clear,dry,daylight,44.759706830618946,-63.6405788074304,highway,80
property damage only,rain,wet,dark,44.52971807257017,-63.8160095221038,secondary,50
non-fatal injury,clear,dry,daylight,44.64570050331836,-63.58347131307227,tertiary,50
property damage only,clear,dry,daylight,44.67026749633482,-63.5377712304557,secondary,50
non-fatal injury,overcast,wet,daylight,44.79903922579491,-62.885283051782125,residential,40
property damage only,rain,wet,dark,44.68726917476594,-63.60000347633987,highway,100
non-fatal injury,clear,dry,daylight,44.8506402942805,-63.60896126762243,primary,70
non-fatal injury,clear,dry,daylight,44.86985097261107,-63.531410620282,residential,40
property damage only,clear,wet,dusk,44.6869049503427,-63.58693869266229,residential,40
property damage only,overcast,dry,dark,44.6660330932596,-63.63646825129765,primary,50
property damage only,clear,wet,dusk,44.61163696724958,-63.487006785332625,residential,40
property damage only,clear,dry,dark,44.724959839650445,-63.688205406662526,highway,100
property damage only,clear,dry,daylight,44.68201023564864,-63.456277393527365,residential,40
property damage only,overcast,dry,daylight,44.776423722595936,-63.69602056294418,secondary,70
property damage only,clear,dry,daylight,44.68727504093993,-63.48506578456312,residential,50
property damage only,clear,dry,daylight,44.65772191442715,-63.586379335523425,primary,50
property damage only,clear,dry,daylight,44.67902928108967,-63.52565101476599,tertiary,50
property damage only,clear,dry,daylight,44.67935648468518,-63.52692836189627,residential,40
property damage only,clear,dry,daylight,44.6726048193328,-63.53847412269714,residential,40
non-fatal injury,rain,wet,dark,44.68363231042041,-63.42311572173707,secondary,70
non-fatal injury,clear,dry,dusk,44.67180882653475,-63.49555949114504,residential,40
property damage only,clear,wet,daylight,44.641852412226825,-63.620113995671296,primary,30
